Time,Roll,Pitch,Yaw/Heading,G-Force(X),G-Force(Y),G-Force(Z)

6795519,-0.02562924288213253,0.008047746494412422,2.5678608417510986,0.0,0.0,0.0

6795579,-0.025628529489040375,0.008048648945987225,2.567857265472412,0.0,0.0,0.0

6795588,-0.02562662772834301,0.00804994348436594,2.5678632259368896,0.0,0.0,0.0

6795621,-0.02562514878809452,0.00805066991597414,2.5678582191467285,0.0,0.0,0.0

6795663,-0.025624357163906097,0.00805228017270565,2.5678622722625732,0.0,0.0,0.0

6795705,-0.025627365335822105,0.008051990531384945,2.5678532123565674,0.0,0.0,0.0

6795723,-0.02563205361366272,0.00805086549371481,2.567861795425415,0.0,0.0,0.0

6795732,-0.025633834302425385,0.008051139302551746,2.567847728729248,0.0,0.0,0.0

6795792,-0.02562754601240158,0.00805024616420269,2.5678646564483643,0.0,0.0,0.0

6795795,-0.0256253220140934,0.00804982241243124,2.5678577423095703,0.0,0.0,0.0

6795813,-0.025624440982937813,0.008048919029533863,2.5678634643554688,0.0,0.0,0.0

6795855,-0.02563154138624668,0.00805081706494093,2.5678493976593018,0.0,0.0,0.0

6795870,-0.025627562776207924,0.008050168864428997,2.567861795425415,0.0,0.0,0.0

6795936,-0.025628002360463142,0.008052343502640724,2.567859411239624,0.0,0.0,0.0

6795945,-0.02562890388071537,0.008051395416259766,2.5678679943084717,0.0,0.0,0.0

6795993,-0.025630351155996323,0.008051025681197643,2.5678536891937256,0.0,0.0,0.0

6796119,-0.02562693879008293,0.008047731593251228,2.567864418029785,0.0,0.0,0.0

6796140,-0.02563207410275936,0.008046743459999561,2.567854881286621,0.0,0.0,0.0

6796248,-0.025633933022618294,0.008043468929827213,2.56784987449646,0.0,0.0,0.0

6796269,-0.025627734139561653,0.008043131791055202,2.5678606033325195,0.0,0.0,0.0

6796314,-0.02563212253153324,0.00804356299340725,2.567861795425415,0.0,0.0,0.0

6796329,-0.025626283138990402,0.008041679859161377,2.5678670406341553,0.0,0.0,0.0

6796368,-0.025633784011006355,0.008040848188102245,2.5678582191467285,0.0,0.0,0.0

6796389,-0.025626085698604584,0.008039398118853569,2.567854404449463,0.0,0.0,0.0

6796437,-0.025628603994846344,0.008037039078772068,2.567861557006836,0.0,0.0,0.0

6796497,-0.02562655508518219,0.008031816221773624,2.567861318588257,0.0,0.0,0.0

6796500,-0.025622734799981117,0.008032611571252346,2.5678534507751465,0.0,0.0,0.0

6796593,-0.02562279999256134,0.008026824332773685,2.5678577423095703,0.0,0.0,0.0

6796638,-0.025621674954891205,0.008025627583265305,2.567859172821045,0.0,0.0,0.0

6796656,-0.0256218072026968,0.008025454357266426,2.5678586959838867,0.0,0.0,0.0

6796668,-0.025622539222240448,0.008025442250072956,2.5678584575653076,0.0,0.0,0.0

6796683,-0.025621766224503517,0.00802611280232668,2.567861795425415,0.0,0.0,0.0

6796704,-0.02562437765300274,0.008028469979763031,2.5678553581237793,0.0,0.0,0.0

6796731,-0.025617744773626328,0.008028779178857803,2.5678582191467285,0.0,0.0,0.0

6796743,-0.025614634156227112,0.00802938174456358,2.5678606033325195,0.0,0.0,0.0

6796773,-0.025623667985200882,0.008031697012484074,2.567857265472412,0.0,0.0,0.0

6796800,-0.025617655366659164,0.008032865822315216,2.5678539276123047,0.0,0.0,0.0

6796803,-0.025617387145757675,0.008032957091927528,2.5678584575653076,0.0,0.0,0.0

6796827,-0.02561485953629017,0.008033500984311104,2.5678555965423584,0.0,0.0,0.0

6796863,-0.02561415173113346,0.008033419027924538,2.567859649658203,0.0,0.0,0.0

6796893,-0.02561241202056408,0.008034569211304188,2.5678462982177734,0.0,0.0,0.0

6796926,-0.025613224133849144,0.008035434409976006,2.5678467750549316,0.0,0.0,0.0

6796938,-0.02562101185321808,0.0080359922721982,2.5678558349609375,0.0,0.0,0.0

6796959,-0.025623679161071777,0.00803645420819521,2.5678558349609375,0.0,0.0,0.0

6796974,-0.02562187984585762,0.008036798797547817,2.5678582191467285,0.0,0.0,0.0

6797001,-0.025615109130740166,0.008037694729864597,2.5678551197052,0.0,0.0,0.0

6797016,-0.025616755709052086,0.008037927560508251,2.567857503890991,0.0,0.0,0.0

6797043,-0.025618214160203934,0.008038447238504887,2.5678582191467285,0.0,0.0,0.0

6797070,-0.025613222271203995,0.008040059357881546,2.5678584575653076,0.0,0.0,0.0

6797094,-0.025611940771341324,0.008041155524551868,2.567861557006836,0.0,0.0,0.0

6797118,-0.0256187841296196,0.008042018860578537,2.5678536891937256,0.0,0.0,0.0

6797196,-0.025611506775021553,0.008041869848966599,2.567849636077881,0.0,0.0,0.0

6797271,-0.02561122551560402,0.008043770678341389,2.5678458213806152,0.0,0.0,0.0

6797322,-0.025610052049160004,0.008043957874178886,2.567854642868042,0.0,0.0,0.0

6797334,-0.02560398355126381,0.008043142035603523,2.5678648948669434,0.0,0.0,0.0

6797343,-0.02561304345726967,0.008043069392442703,2.567852020263672,0.0,0.0,0.0

6797397,-0.02560918964445591,0.008041197434067726,2.567856788635254,0.0,0.0,0.0

6797472,-0.025612326338887215,0.008039304055273533,2.5678515434265137,0.0,0.0,0.0

6797538,-0.025609437376260757,0.008035756647586823,2.567854166030884,0.0,0.0,0.0

6797556,-0.025608133524656296,0.008035119622945786,2.5678462982177734,0.0,0.0,0.0

6797565,-0.025608398020267487,0.008034372702240944,2.567847728729248,0.0,0.0,0.0

6797577,-0.02561064623296261,0.008034097962081432,2.567850112915039,0.0,0.0,0.0

6797598,-0.02561270445585251,0.008033212274312973,2.5678534507751465,0.0,0.0,0.0

6797661,-0.02561587654054165,0.00803044531494379,2.567847728729248,0.0,0.0,0.0

6797670,-0.02561800181865692,0.008030083030462265,2.5678532123565674,0.0,0.0,0.0

6797691,-0.025620097294449806,0.008029130287468433,2.5678513050079346,0.0,0.0,0.0

6797739,-0.02562742494046688,0.008027900010347366,2.5678510665893555,0.0,0.0,0.0

6797793,-0.025625834241509438,0.008027954027056694,2.567850112915039,0.0,0.0,0.0

6797823,-0.02562747709453106,0.008028026670217514,2.5678458213806152,0.0,0.0,0.0

6797829,-0.025628933683037758,0.008028204552829266,2.567850112915039,0.0,0.0,0.0

6797862,-0.025624515488743782,0.008028250187635422,2.567849636077881,0.0,0.0,0.0

6797874,-0.02562851272523403,0.008028458803892136,2.56784987449646,0.0,0.0,0.0

6797943,-0.02562429942190647,0.008025988936424255,2.5678462982177734,0.0,0.0,0.0

6798018,-0.025632690638303757,0.00802640337496996,2.5678489208221436,0.0,0.0,0.0

6798021,-0.025636645033955574,0.00802691001445055,2.567852020263672,0.0,0.0,0.0

6798033,-0.025637079030275345,0.008026717230677605,2.5678608417510986,0.0,0.0,0.0

6798042,-0.02562803588807583,0.008026589639484882,2.5678558349609375,0.0,0.0,0.0

6798102,-0.025625478476285934,0.008026130497455597,2.567852258682251,0.0,0.0,0.0

6798186,-0.025630125775933266,0.00802589487284422,2.567847490310669,0.0,0.0,0.0

6798201,-0.025627823546528816,0.00802612490952015,2.56784725189209,0.0,0.0,0.0

6798243,-0.025621317327022552,0.00802499521523714,2.5678579807281494,0.0,0.0,0.0

6798261,-0.02562347985804081,0.008026468567550182,2.5678443908691406,0.0,0.0,0.0

6798429,-0.02562822587788105,0.008027673698961735,2.5678441524505615,0.0,0.0,0.0

6798492,-0.02562042884528637,0.008029002696275711,2.567844867706299,0.0,0.0,0.0

6798498,-0.025623207911849022,0.008028717711567879,2.5678486824035645,0.0,0.0,0.0

6798510,-0.025623269379138947,0.008028872311115265,2.5678517818450928,0.0,0.0,0.0

6798531,-0.025620101019740105,0.008028223179280758,2.5678608417510986,0.0,0.0,0.0

6798546,-0.025613075122237206,0.008029037155210972,2.5678529739379883,0.0,0.0,0.0

6798567,-0.025622300803661346,0.008029736578464508,2.5678441524505615,0.0,0.0,0.0

6798579,-0.025622770190238953,0.008028578013181686,2.567859649658203,0.0,0.0,0.0

6798588,-0.025626027956604958,0.008029784075915813,2.567845106124878,0.0,0.0,0.0

6798594,-0.025622526183724403,0.008029229007661343,2.567845106124878,0.0,0.0,0.0

6798687,-0.025622274726629257,0.008028929121792316,2.5678529739379883,0.0,0.0,0.0

6798693,-0.025625264272093773,0.008029465563595295,2.567847490310669,0.0,0.0,0.0

6798714,-0.02561868168413639,0.00802944041788578,2.5678558349609375,0.0,0.0,0.0

6798726,-0.02561783790588379,0.008029808290302753,2.5678555965423584,0.0,0.0,0.0

6798759,-0.02562110312283039,0.008030667901039124,2.56784725189209,0.0,0.0,0.0

6798795,-0.025616228580474854,0.008029595017433167,2.567845582962036,0.0,0.0,0.0

6798861,-0.025619208812713623,0.008027814328670502,2.5678515434265137,0.0,0.0,0.0

6798867,-0.02562195435166359,0.008028129115700722,2.567843437194824,0.0,0.0,0.0

6798900,-0.025612976402044296,0.008025663904845715,2.5678529739379883,0.0,0.0,0.0

6798936,-0.025612764060497284,0.008025482296943665,2.567849636077881,0.0,0.0,0.0

6798963,-0.025613082572817802,0.008024044334888458,2.5678517818450928,0.0,0.0,0.0

6799023,-0.025624146685004234,0.008021514862775803,2.56784987449646,0.0,0.0,0.0

6799071,-0.025623520836234093,0.008019709959626198,2.567852735519409,0.0,0.0,0.0

6799083,-0.02561871148645878,0.008020834997296333,2.5678467750549316,0.0,0.0,0.0

6799161,-0.025621699169278145,0.008017430081963539,2.567854404449463,0.0,0.0,0.0

6799221,-0.025631343945860863,0.008019532077014446,2.5678539276123047,0.0,0.0,0.0

6799233,-0.025632627308368683,0.008019043132662773,2.5678536891937256,0.0,0.0,0.0

6799305,-0.02563861943781376,0.008020340465009212,2.5678486824035645,0.0,0.0,0.0

6799347,-0.025635993108153343,0.00802598800510168,2.567856550216675,0.0,0.0,0.0

6799359,-0.025640346109867096,0.008027973584830761,2.567842483520508,0.0,0.0,0.0

6799410,-0.025629065930843353,0.0080331489443779,2.567854404449463,0.0,0.0,0.0

6799455,-0.025633679702878,0.008037704043090343,2.567856788635254,0.0,0.0,0.0

6799464,-0.025631526485085487,0.008037896826863289,2.5678560733795166,0.0,0.0,0.0

6799512,-0.025623217225074768,0.008039549924433231,2.567842721939087,0.0,0.0,0.0

6799608,-0.025634121149778366,0.008037731982767582,2.5678489208221436,0.0,0.0,0.0

6799614,-0.02563641592860222,0.008038459345698357,2.5678417682647705,0.0,0.0,0.0

6799641,-0.02562922239303589,0.00804038718342781,2.567859411239624,0.0,0.0,0.0

6799650,-0.025626955553889275,0.008040385320782661,2.5678470134735107,0.0,0.0,0.0

6799674,-0.025633646175265312,0.008040971122682095,2.5678393840789795,0.0,0.0,0.0

6799695,-0.025634875521063805,0.008040272630751133,2.5678505897521973,0.0,0.0,0.0

6799704,-0.025633418932557106,0.008039877749979496,2.567847728729248,0.0,0.0,0.0

6799710,-0.025635454803705215,0.00804007425904274,2.5678513050079346,0.0,0.0,0.0

6799722,-0.025633087381720543,0.008038466796278954,2.567859172821045,0.0,0.0,0.0

6799737,-0.025626007467508316,0.008040728978812695,2.567852020263672,0.0,0.0,0.0

6799851,-0.025628460571169853,0.008040104061365128,2.567857027053833,0.0,0.0,0.0

6799926,-0.025630861520767212,0.008041057735681534,2.5678462982177734,0.0,0.0,0.0

6799932,-0.025625113397836685,0.008043124340474606,2.567840576171875,0.0,0.0,0.0

6799956,-0.025637755170464516,0.00804249569773674,2.5678513050079346,0.0,0.0,0.0

6800037,-0.025631070137023926,0.0080446507781744,2.567844867706299,0.0,0.0,0.0

6800043,-0.025632701814174652,0.008044501766562462,2.567850351333618,0.0,0.0,0.0

6800055,-0.025623582303524017,0.008045029826462269,2.5678577423095703,0.0,0.0,0.0

6800082,-0.025617755949497223,0.008048370480537415,2.5678529739379883,0.0,0.0,0.0

6800091,-0.02562180534005165,0.008047430776059628,2.5678441524505615,0.0,0.0,0.0

6800118,-0.025626005604863167,0.008048166520893574,2.567850112915039,0.0,0.0,0.0

6800142,-0.02562214992940426,0.008050987496972084,2.5678486824035645,0.0,0.0,0.0

6800175,-0.02562650293111801,0.008051089942455292,2.567852735519409,0.0,0.0,0.0

6800202,-0.025622941553592682,0.008050513453781605,2.567854404449463,0.0,0.0,0.0

6800211,-0.025630226358771324,0.00804931204766035,2.567849636077881,0.0,0.0,0.0

6800229,-0.025625184178352356,0.008049997501075268,2.5678536891937256,0.0,0.0,0.0

6800244,-0.02562551200389862,0.008050180971622467,2.5678579807281494,0.0,0.0,0.0

6800274,-0.025625048205256462,0.008051699958741665,2.5678579807281494,0.0,0.0,0.0

6800307,-0.02562747523188591,0.00805274024605751,2.5678420066833496,0.0,0.0,0.0

6800319,-0.02563001587986946,0.008052866905927658,2.5678470134735107,0.0,0.0,0.0

6800394,-0.02561812475323677,0.008052630349993706,2.5678517818450928,0.0,0.0,0.0

6800406,-0.025615736842155457,0.008052272722125053,2.5678563117980957,0.0,0.0,0.0

6800448,-0.025625165551900864,0.008050546981394291,2.5678534507751465,0.0,0.0,0.0

6800454,-0.025621263310313225,0.008051902055740356,2.567841053009033,0.0,0.0,0.0

6800535,-0.02562941424548626,0.008049733936786652,2.567847728729248,0.0,0.0,0.0

6800544,-0.025633439421653748,0.008048725314438343,2.5678422451019287,0.0,0.0,0.0

6800550,-0.025632692500948906,0.008047898299992085,2.567852258682251,0.0,0.0,0.0

6800655,-0.02563479356467724,0.008048523217439651,2.5678396224975586,0.0,0.0,0.0

6800679,-0.025640372186899185,0.008047977462410927,2.5678489208221436,0.0,0.0,0.0

6800694,-0.025642255321145058,0.008047794923186302,2.567852735519409,0.0,0.0,0.0

6800709,-0.025629209354519844,0.008048207499086857,2.5678420066833496,0.0,0.0,0.0

6800853,-0.025629010051488876,0.008045877330005169,2.567854642868042,0.0,0.0,0.0

6800865,-0.02563101053237915,0.008046621456742287,2.5678436756134033,0.0,0.0,0.0

6800874,-0.02563798800110817,0.008046045899391174,2.5678508281707764,0.0,0.0,0.0

6800901,-0.025632435455918312,0.008046936243772507,2.567838191986084,0.0,0.0,0.0

6800928,-0.025635892525315285,0.008046959526836872,2.567840337753296,0.0,0.0,0.0

6800949,-0.025638630613684654,0.008046613074839115,2.5678486824035645,0.0,0.0,0.0

6800967,-0.025638071820139885,0.008047495037317276,2.567850112915039,0.0,0.0,0.0

6801003,-0.025642337277531624,0.008047439157962799,2.5678508281707764,0.0,0.0,0.0

6801078,-0.02563868835568428,0.008048644289374352,2.5678484439849854,0.0,0.0,0.0

6801087,-0.025636805221438408,0.00804910622537136,2.5678493976593018,0.0,0.0,0.0

6801126,-0.025632191449403763,0.008048783987760544,2.5678482055664062,0.0,0.0,0.0

6801141,-0.025635525584220886,0.008049944415688515,2.5678439140319824,0.0,0.0,0.0

6801168,-0.02563253417611122,0.008049417287111282,2.567850112915039,0.0,0.0,0.0

6801180,-0.025629922747612,0.008049159310758114,2.5678491592407227,0.0,0.0,0.0

6801243,-0.025630196556448936,0.00805175956338644,2.567845582962036,0.0,0.0,0.0

6801255,-0.025631049647927284,0.008051689714193344,2.56785249710083,0.0,0.0,0.0

6801270,-0.025622600689530373,0.008050779812037945,2.5678536891937256,0.0,0.0,0.0

6801288,-0.025628365576267242,0.008052078075706959,2.5678436756134033,0.0,0.0,0.0

6801330,-0.025625642389059067,0.008053027093410492,2.567852258682251,0.0,0.0,0.0

6801339,-0.025629257783293724,0.008053506724536419,2.5678482055664062,0.0,0.0,0.0

6801363,-0.025628160685300827,0.008053362369537354,2.567845582962036,0.0,0.0,0.0

6801393,-0.02562873624265194,0.00805229227989912,2.5678539276123047,0.0,0.0,0.0

6801399,-0.025627898052334785,0.008052180521190166,2.5678534507751465,0.0,0.0,0.0

6801408,-0.025628577917814255,0.008052674122154713,2.5678446292877197,0.0,0.0,0.0

6801432,-0.025623401626944542,0.008053156547248363,2.5678482055664062,0.0,0.0,0.0

6801441,-0.025619013234972954,0.008053542114794254,2.567840337753296,0.0,0.0,0.0

6801468,-0.025618575513362885,0.008053185418248177,2.5678467750549316,0.0,0.0,0.0

6801522,-0.02561439760029316,0.008052878081798553,2.567847967147827,0.0,0.0,0.0

6801534,-0.025611557066440582,0.00805300660431385,2.5678482055664062,0.0,0.0,0.0

6801549,-0.025610141456127167,0.008053415454924107,2.5678446292877197,0.0,0.0,0.0

6801570,-0.025603944435715675,0.00805334746837616,2.5678484439849854,0.0,0.0,0.0

6801582,-0.025605056434869766,0.008053666912019253,2.567844867706299,0.0,0.0,0.0

6801612,-0.025604816153645515,0.008053730241954327,2.567845106124878,0.0,0.0,0.0

6801618,-0.02560543082654476,0.008053476922214031,2.567845106124878,0.0,0.0,0.0

