,,,
,,Time,Reaction
,,2.2833333333,-0.6851351792
,,2.3,-0.701684723
,,2.3166666667,-0.7183974848
,,2.3333333333,-0.7352202777
,,2.35,-0.7521002884
,,2.3666666667,-0.7689852613
,,2.3833333333,-0.7858236803
,,2.4,-0.8025649403
,,2.4166666667,-0.8191595002
,,2.4333333333,-0.8355590145
,,2.45,-0.8517164489
,,2.4666666667,-0.8675861825
,,2.4833333333,-0.8831241065
,,2.5,-0.8982877232
,,2.5166666667,-0.913036249
,,2.5333333333,-0.9273307208
,,2.55,-0.9411341013
,,2.5666666667,-0.9544113795
,,2.5833333333,-0.9671296602
,,2.6,-0.9792582396
,,2.6166666667,-0.9907686668
,,2.6333333333,-1.0016347904
,,2.65,-1.0118327957
,,2.6666666667,-1.0213412336
,,2.6833333333,-1.0301410455
,,2.7,-1.0382155857
,,2.7166666667,-1.0455506399
,,2.7333333333,-1.0521344405
,,2.75,-1.0579576742
,,2.7666666667,-1.0630134811
,,2.7833333333,-1.0672974439
,,2.8,-1.0708075657
,,2.8166666667,-1.0735442383
,,2.8333333333,-1.0755102023
,,2.85,-1.0767105001
,,2.8666666667,-1.0771524251
,,2.8833333333,-1.0768454658
,,2.9,-1.0758012472
,,2.9166666667,-1.0740334677
,,2.9333333333,-1.0715578313
,,2.95,-1.068391974
,,2.9666666667,-1.0645553839
,,2.9833333333,-1.0600693157
,,3,-1.0549566989
,,3.0166666667,-1.0492420422
,,3.0333333333,-1.0429513339
,,3.05,-1.0361119406
,,3.0666666667,-1.028752503
,,3.0833333333,-1.0209028319
,,3.1,-1.0125938018
,,3.1166666667,-1.0038572433
,,3.1333333333,-0.9947258342
,,3.15,-0.985232989
,,3.1666666667,-0.9754127461
,,3.1833333333,-0.9652996551
,,3.2,-0.9549286633
,,3.2166666667,-0.9443350027
,,3.2333333333,-0.9335540777
,,3.25,-0.922621355
,,3.2666666667,-0.911572255
,,3.2833333333,-0.9004420451
,,3.3,-0.8892657359
,,3.3166666667,-0.8780779786
,,3.3333333333,-0.8669129652
,,3.35,-0.8558043313
,,3.3666666667,-0.8447850611
,,3.3833333333,-0.8338873962
,,3.4,-0.8231427472
,,3.4166666667,-0.8125816103
,,3.4333333333,-0.8022334867
,,3.45,-0.7921268079
,,3.4666666667,-0.7822888643
,,3.4833333333,-0.772745739
,,3.5,-0.7635222461
,,3.5166666667,-0.7546418737
,,3.5333333333,-0.7461267309
,,3.55,-0.7379975006
,,3.5666666667,-0.7302733966
,,3.5833333333,-0.7229721258
,,3.6,-0.7161098558
,,3.6166666667,-0.7097011874
,,3.6333333333,-0.703759133
,,3.65,-0.6982950996
,,3.6666666667,-0.6933188773
,,3.6833333333,-0.6888386327
,,3.7,-0.6848609073
,,3.7166666667,-0.6813906211
,,3.7333333333,-0.6784310804
,,3.75,-0.675983991
,,3.7666666667,-0.6740494754
,,3.7833333333,-0.6726260953
,,3.8,-0.6717108781
,,3.8166666667,-0.6712993477
,,3.8333333333,-0.6713855599
,,3.85,-0.6719621417
,,3.8666666667,-0.6730203336
,,3.8833333333,-0.6745500367
,,3.9,-0.6765398623
,,3.9166666667,-0.6789771848
,,3.9333333333,-0.6818481982
,,3.95,-0.6851379744
,,3.9666666667,-0.6888305246
,,3.9833333333,-0.6929088636
,,4,-0.6973550751
,,4.0166666667,-0.7021503798
,,4.0333333333,-0.707275205
,,4.05,-0.7127092553
,,4.0666666667,-0.7184315847
,,4.0833333333,-0.7244206696
,,4.1,-0.7306544827
,,4.1166666667,-0.7371105669
,,4.1333333333,-0.74376611
,,4.15,-0.7505980188
,,4.1666666667,-0.7575829937
,,4.1833333333,-0.7646976022
,,4.2,-0.7719183523
,,4.2166666667,-0.7792217648
,,4.2333333333,-0.7865844444
,,4.25,-0.79398315
,,4.2666666667,-0.8013948628
,,4.2833333333,-0.8087968532
,,4.3,-0.816166746
,,4.3166666667,-0.8234825835
,,4.3333333333,-0.8307228858
,,4.35,-0.8378667096
,,4.3666666667,-0.8448937044
,,4.3833333333,-0.8517841657
,,4.4,-0.8585190856
